,timestamp,context1,context2,context3,context4,context5,context6,drawn_article,reward,article1,article2,article3,article4,article5,article6,article7,article8,article9,article10,article11,article12,article13,article14,article15,article16,article17,article18,article19,article20,article21,propensity_score
3,1241163300,1.0,0.618809,0.078446,0.056587,0.240436,0.005722,24,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
4,1241161500,1.0,0.007116,0.00041,0.0015949999999999998,0.009283,0.9815969999999999,22,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.02
5,1241164200,1.0,0.0045899999999999995,8.1e-05,0.019372,0.026550999999999998,0.949406,13,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
6,1241163300,1.0,0.0006580000000000001,1e-05,0.00022,0.00041600000000000003,0.9986959999999999,22,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
8,1241161200,1.0,0.022782,0.008034,0.000352,0.009446,0.9593870000000001,21,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.2
9,1241165700,1.0,0.022323,0.001504,0.003602,0.021223,0.951348,20,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
10,1241162400,1.0,0.00059,9e-06,0.000391,0.000796,0.9982139999999999,13,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,34.0,0.2
11,1241162400,1.0,0.05485399999999999,0.051627,0.048947000000000004,0.84447,0.000102,11,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,34.0,0.02
12,1241164200,1.0,0.117851,0.066321,0.045471,0.768966,0.001391,20,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
13,1241164800,1.0,0.47294200000000003,0.046072,0.24139000000000002,0.239089,0.0005059999999999999,24,1,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
18,1241161500,1.0,0.022323,0.001504,0.003602,0.021223,0.951348,25,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.02
20,1241165700,1.0,0.828535,0.015577,0.045077,0.10223600000000001,0.008575,25,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
22,1241164500,1.0,0.001348,6.500000000000001e-05,0.00063,0.0018670000000000002,0.9960899999999999,20,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
25,1241160900,1.0,0.664068,0.073064,0.041332,0.212738,0.008798,30,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.02
26,1241165400,1.0,0.087437,0.563416,0.000231,0.048755,0.300162,25,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
