Unnamed: 0,treat,age,educ,black,hispan,married,nodegree,re74,re75,re78,propensity_score
559,0,18,11,1,0,0,1,0.0,0.0,0.0,0.032287095
51,1,28,8,1,0,0,1,0.0,0.0,0.0,0.6195118000000001
437,0,16,7,0,0,0,1,658.3136,479.8065,6210.885,0.004516532
332,0,37,14,0,0,1,0,18501.36,2638.935,13429.58,0.011281514
611,0,24,1,0,1,1,1,0.0,0.0,19464.61,0.01057195
231,0,20,12,1,0,1,0,9555.344,7055.661,0.0,0.0005007254
94,1,21,12,1,0,0,0,0.0,0.0,9983.784,0.96050334
260,0,38,8,0,0,1,1,11242.27,5174.032,0.0,0.02033741
451,0,17,9,1,0,0,1,0.0,297.1935,54.67588000000001,0.00028159720000000004
287,0,18,12,0,0,0,0,2217.89,4191.145,8957.978000000001,0.02884203
128,1,23,10,1,0,1,1,0.0,936.4386,11233.26,0.35419407
602,0,16,8,0,1,0,1,0.0,0.0,12242.96,0.00052248326
446,0,16,9,0,0,0,1,0.0,320.4677,3707.616,0.0006569611
593,0,46,11,1,0,1,1,0.0,0.0,0.0,0.00050075195
245,0,25,7,0,0,1,1,5597.625,6099.629,122.6513,0.07157041
415,0,27,15,0,0,0,0,0.0,857.5645,3392.86,0.0009136003
271,0,19,10,0,0,0,1,5777.8780000000015,4672.742,135.9508,0.08284336
246,0,35,7,0,0,1,1,10715.23,6087.097,15177.73,0.0032599184000000002
454,0,23,13,1,0,0,0,172.4155,272.129,582.2243,0.01832218
363,0,22,12,0,0,0,0,10137.25,1679.323,25564.67,0.010797461000000001
252,0,42,7,0,0,1,1,10971.89,5806.016,9241.702,0.0013612332999999998
348,0,48,8,0,0,1,1,16050.31,2116.161,11600.15,0.00014792322
466,0,17,10,0,0,0,1,0.0,182.6129,6423.677,0.0009194712599999999
419,0,19,13,1,0,0,0,1714.358,785.9516,9067.33,0.03176495
265,0,23,8,0,0,1,1,3595.255,4866.097,2782.559,0.03523345
350,0,30,12,0,0,1,0,7347.251,2080.355,14475.81,0.0011529602
561,0,17,8,1,0,0,1,0.0,0.0,12760.17,0.0021546131
492,0,45,12,0,0,1,0,9277.128,0.0,12108.49,0.0041744662
522,0,19,12,1,0,0,0,1655.58,0.0,0.0,0.012640269499999999
560,0,46,11,1,0,1,1,0.0,0.0,2820.98,0.101615
270,0,40,12,0,0,1,0,18389.68,4688.855,21857.05,0.0018942083
108,1,17,9,1,0,0,1,0.0,0.0,1953.268,0.99085146
377,0,23,13,0,0,0,0,601.4949,1394.661,4975.505,0.00020616833
291,0,34,11,0,0,1,1,0.0,4010.323,18133.18,0.10185397
145,1,31,12,0,0,0,0,0.0,2611.218,2484.549,0.7783845
100,1,31,9,0,1,0,1,0.0,0.0,26817.6,0.42196190000000006
379,0,28,10,0,0,1,1,7578.444,1383.919,2404.261,0.00018508415000000002
169,1,22,10,1,0,1,1,1468.348,5588.664000000002,13228.28,0.99733007
412,0,17,11,0,1,0,1,0.0,873.6774,7759.541999999998,0.06923599
484,0,34,11,0,1,1,1,22198.49,0.0,0.0,0.887912
143,1,24,10,1,0,0,1,4250.402,2421.947,1660.5079999999996,0.9966611999999999
